model,order,level,success_rate,time_avg,time_var,steps,mean_f1_agent_0,mean_similarity_agent_0,mean_redundancy_agent_0,std_f1_agent_0,std_similarity_agent_0,std_redundancy_agent_0,mean_f1_agent_1,mean_similarity_agent_1,mean_redundancy_agent_1,std_f1_agent_1,std_similarity_agent_1,std_redundancy_agent_1,initiate_collaboration,respond_collaboration,overall_collaboration
Qwen_Qwen3-1.7B_Qwen_Qwen3-4B,boiled_potato_slices,2,0.4444444444444444,68.5,21.823152842795196,97.55555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.2821672732903497,0.6,0.21319580536971838,0.1368547446482883,0.3651483716701107,0.10823457028401327,0.11594202898550725,0.13526570048309178,0.12560386473429952
Qwen_Qwen3-1.7B_Qwen_Qwen3-4B,baked_pumpkin_slices,2,0.5,28.8,5.418486873657627,74.9,0.0,0.0,0.0,0.0,0.0,0.0,0.591656373780346,0.74,0.5556277056277056,0.08028419611786286,0.1562049935181331,0.23061999448099252,0.10215053763440861,0.1935483870967742,0.1478494623655914
Qwen_Qwen3-1.7B_Qwen_Qwen3-1.7B,boiled_corn_slices,2,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3025385697663484,0.24,0.475,0.2182914475806346,0.17435595774162693,0.37277115410575073,0.2692307692307692,0.23076923076923078,0.25
Qwen_Qwen3-1.7B_Qwen_Qwen3-1.7B,boiled_green_bean_slices,2,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3610022002536673,0.34,0.41,0.19369877706326827,0.2009975124224178,0.20604745947367453,0.11864406779661017,0.11380145278450363,0.11622276029055689
Qwen_Qwen3-1.7B_Qwen_Qwen3-1.7B,baked_pumpkin_slices,2,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3292434841981814,0.26000000000000006,0.5976190476190476,0.22535779186620158,0.18,0.4121799246074863,0.23728813559322035,0.12429378531073447,0.1807909604519774
Qwen_Qwen3-1.7B_Qwen_Qwen3-1.7B,boiled_potato_slices,2,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1425807650335294,0.15999999999999998,0.209375,0.1856853851508472,0.17435595774162693,0.3228094580097608,0.0995260663507109,0.037914691943127965,0.06872037914691943
Qwen_Qwen3-14B_Qwen_Qwen3-32B,boiled_potato_slices,2,0.8,48.625,18.479295846974257,63.7,0.0,0.0,0.0,0.0,0.0,0.0,0.3874404095144506,0.54,0.3178932178932179,0.2683205635499184,0.39038442591886274,0.23196695903883888,0.1896551724137931,0.1896551724137931,0.1896551724137931
Qwen_Qwen3-14B_Qwen_Qwen3-32B,boiled_green_bean_slices,2,0.7,65.57142857142857,29.446596421595594,82.6,0.0,0.0,0.0,0.0,0.0,0.0,0.24494384982888148,0.32,0.19658119658119658,0.23107450742271982,0.29933259094191533,0.1862023484254027,0.03125,0.09375,0.0625
Qwen_Qwen3-14B_Qwen_Qwen3-32B,boiled_corn_slices,2,0.5,47.6,30.65681001017555,84.3,0.0,0.0,0.0,0.0,0.0,0.0,0.2617413022301618,0.28,0.2706959706959707,0.29941142420144534,0.31240998703626616,0.317421830108053,0.02197802197802198,0.04395604395604396,0.03296703296703297
Qwen_Qwen3-14B_Qwen_Qwen3-32B,baked_pumpkin_slices,2,0.7,27.285714285714285,5.062870041905528,55.8,0.0,0.0,0.0,0.0,0.0,0.0,0.2761986646179785,0.36000000000000004,0.22418470418470418,0.3039414231183994,0.4079215610874227,0.2438474611373732,0.0641025641025641,0.10256410256410256,0.08333333333333333
Qwen_Qwen3-32B_Qwen_Qwen3-1.7B,baked_pumpkin_slices,2,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30059071074516436,0.24000000000000005,0.6633333333333333,0.1976875979144481,0.19595917942265423,0.4243819034784589,0.05,0.0625,0.05625
Qwen_Qwen3-32B_Qwen_Qwen3-1.7B,boiled_green_bean_slices,2,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22871571865293827,0.18,0.4424242424242424,0.15714625877421817,0.10770329614269009,0.3938111679426155,0.0584958217270195,0.03899721448467967,0.04874651810584958
Qwen_Qwen3-32B_Qwen_Qwen3-1.7B,boiled_potato_slices,2,0.2,32.5,8.5,102.7,0.0,0.0,0.0,0.0,0.0,0.0,0.23745533333991586,0.24000000000000005,0.3575,0.17830786598896922,0.19595917942265423,0.36179433230619973,0.0463768115942029,0.05217391304347826,0.04927536231884058
Qwen_Qwen3-32B_Qwen_Qwen3-1.7B,boiled_corn_slices,2,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2860094680347501,0.2,0.7416666666666666,0.1390503086960431,0.0894427190999916,0.4021642837337885,0.07142857142857142,0.05714285714285714,0.06428571428571428
Qwen_Qwen3-8B_Qwen_Qwen3-4B,boiled_corn_slices,2,0.1,46.0,0.0,112.7,0.0,0.0,0.0,0.0,0.0,0.0,0.1914201541676725,0.22000000000000003,0.25384615384615383,0.24126184441188228,0.28913664589601923,0.38775640495780184,0.12,0.28,0.2
Qwen_Qwen3-8B_Qwen_Qwen3-4B,baked_pumpkin_slices,2,0.6,25.833333333333332,3.8908725099762504,64.1,0.0,0.0,0.0,0.0,0.0,0.0,0.4156951689399544,0.5399999999999999,0.3363636363636363,0.2794888455526933,0.35832945734337834,0.23410842892785425,0.10204081632653061,0.2857142857142857,0.19387755102040816
Qwen_Qwen3-8B_Qwen_Qwen3-4B,boiled_green_bean_slices,2,0.4,45.0,14.053469322555197,90.4,0.067825311942959,0.1,0.05,0.203475935828877,0.30000000000000004,0.15000000000000002,0.4098154581336139,0.5199999999999999,0.38353174603174595,0.25296127002816565,0.29933259094191533,0.2985383289459433,0.06481481481481481,0.3055555555555556,0.1851851851851852
Qwen_Qwen3-8B_Qwen_Qwen3-4B,boiled_potato_slices,2,0.4,44.25,17.151894939043906,90.1,0.0,0.0,0.0,0.0,0.0,0.0,0.4050464492189013,0.54,0.3490598290598291,0.16524130963337688,0.2537715508089904,0.161773536729781,0.13333333333333333,0.4,0.26666666666666666
Qwen_Qwen3-32B_Qwen_Qwen3-8B,baked_pumpkin_slices,2,0.3,26.666666666666668,5.90668171555645,92.3,0.0,0.0,0.0,0.0,0.0,0.0,0.16623711813882208,0.24000000000000005,0.12449494949494948,0.23598741249756608,0.33226495451672305,0.1792753227946507,0.13114754098360656,0.22950819672131148,0.18032786885245902
Qwen_Qwen3-32B_Qwen_Qwen3-8B,boiled_green_bean_slices,2,0.5,48.2,8.133879763065101,84.6,0.0,0.0,0.0,0.0,0.0,0.0,0.19057494926805923,0.34,0.1309456797072896,0.21622546049746813,0.38,0.1518052522338519,0.03125,0.125,0.078125
Qwen_Qwen3-32B_Qwen_Qwen3-8B,boiled_corn_slices,2,0.4,61.75,24.722206616724165,97.1,0.024761388286334056,0.06,0.015,0.07428416485900216,0.18,0.045,0.21158658955622817,0.4,0.14176691729323307,0.20477913397089906,0.3898717737923586,0.13726073711308318,0.09090909090909091,0.12121212121212122,0.10606060606060606
Qwen_Qwen3-32B_Qwen_Qwen3-8B,boiled_potato_slices,2,0.5,49.6,22.5619148123558,85.3,0.0,0.0,0.0,0.0,0.0,0.0,0.19699500684297339,0.3,0.14687312687312687,0.20568529049007744,0.33763886032268264,0.1456340750754096,0.10810810810810811,0.12162162162162163,0.11486486486486487
Qwen_Qwen3-8B_Qwen_Qwen3-8B,boiled_potato_slices,2,0.4,36.5,7.5,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28574851280048563,0.4,0.22644422244422246,0.28444252166032435,0.3898717737923586,0.2309031996007721,0.07017543859649122,0.08771929824561403,0.07894736842105263
Qwen_Qwen3-8B_Qwen_Qwen3-8B,baked_pumpkin_slices,2,0.4,32.25,6.832825184358224,85.3,0.0,0.0,0.0,0.0,0.0,0.0,0.22855689564359313,0.33999999999999997,0.17625359118006176,0.24519448138897137,0.34698703145794946,0.195737290041748,0.1346153846153846,0.2692307692307692,0.20192307692307693
Qwen_Qwen3-8B_Qwen_Qwen3-8B,boiled_green_bean_slices,2,0.2,38.0,14.0,103.8,0.0,0.0,0.0,0.0,0.0,0.0,0.3231368990316044,0.42000000000000004,0.3282439782439782,0.2533285171604343,0.3515679166249389,0.3036469379530051,0.06993006993006994,0.11888111888111888,0.0944055944055944
Qwen_Qwen3-8B_Qwen_Qwen3-8B,boiled_corn_slices,2,0.3,61.333333333333336,35.83604640891936,102.7,0.0,0.0,0.0,0.0,0.0,0.0,0.23275312158038214,0.38,0.1680515562868504,0.2397210945505646,0.40447496832313373,0.17217810000295922,0.07272727272727272,0.09090909090909091,0.08181818181818182
Qwen_Qwen3-8B_Qwen_Qwen3-14B,boiled_corn_slices,2,0.4,53.0,14.230249470757707,93.6,0.0,0.0,0.0,0.0,0.0,0.0,0.25987739664172227,0.33999999999999997,0.20992063492063492,0.29797038050606817,0.3903844259188627,0.24296896740778406,0.027777777777777776,0.11805555555555555,0.07291666666666666
Qwen_Qwen3-8B_Qwen_Qwen3-14B,boiled_potato_slices,2,0.6,51.833333333333336,14.438567180375697,79.7,0.0,0.0,0.0,0.0,0.0,0.0,0.359437727722852,0.48,0.28398268398268395,0.29683842097911256,0.3919183588453085,0.23904467658180062,0.0967741935483871,0.1774193548387097,0.13709677419354838
Qwen_Qwen3-8B_Qwen_Qwen3-14B,boiled_green_bean_slices,2,0.2,23.0,2.0,100.8,0.0,0.0,0.0,0.0,0.0,0.0,0.36544549846947255,0.42000000000000004,0.3361111111111111,0.2699829751909804,0.3280243893371345,0.24753795222731995,0.03260869565217391,0.18478260869565216,0.10869565217391304
Qwen_Qwen3-8B_Qwen_Qwen3-14B,baked_pumpkin_slices,2,0.2,54.0,17.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3341589968959899,0.36,0.3195238095238095,0.34649832379044265,0.3666060555964672,0.34887867021446334,0.024,0.072,0.048
Qwen_Qwen3-14B_Qwen_Qwen3-1.7B,boiled_green_bean_slices,2,0.3,75.0,22.861904265976328,106.8,0.0,0.0,0.0,0.0,0.0,0.0,0.20801340052974399,0.16,0.4033333333333333,0.16821345089612058,0.12000000000000001,0.40782621571230826,0.07482993197278912,0.061224489795918366,0.06802721088435373
Qwen_Qwen3-14B_Qwen_Qwen3-1.7B,baked_pumpkin_slices,2,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28357818709168675,0.2,0.6333333333333333,0.2309396424312457,0.1788854381999832,0.45825756949558405,0.088,0.088,0.088
