model,order,level,success_rate,time_avg,time_var,steps,mean_f1_agent_0,mean_similarity_agent_0,mean_redundancy_agent_0,std_f1_agent_0,std_similarity_agent_0,std_redundancy_agent_0,mean_f1_agent_1,mean_similarity_agent_1,mean_redundancy_agent_1,std_f1_agent_1,std_similarity_agent_1,std_redundancy_agent_1,initiate_collaboration,respond_collaboration,overall_collaboration
Qwen_Qwen3-32B_Qwen_Qwen3-32B,baked_pumpkin_slices,2,0.6,0.0,0.0,53,0.0,0.0,0.0,0.0,0.0,0.0,0.31503678389653567,0.48,0.2325280112044818,0.24485388760073706,0.3709447398198282,0.18366513895588937,0.1,0.125,0.1125
Qwen_Qwen3-32B_Qwen_Qwen3-32B,boiled_corn_slices,2,0.8,0.0,0.0,113,0.0,0.0,0.0,0.0,0.0,0.0,0.3463614521695753,0.44000000000000006,0.28174603174603174,0.2505289646771093,0.32,0.20497097730388822,0.078125,0.09375,0.0859375
Qwen_Qwen3-32B_Qwen_Qwen3-32B,boiled_potato_slices,2,0.7,0.0,0.0,120,0.0,0.0,0.0,0.0,0.0,0.0,0.35584826478528364,0.5000000000000001,0.2727777777777778,0.27404572217025874,0.39242833740697164,0.2057274056417831,0.17346938775510204,0.12244897959183673,0.14795918367346939
Qwen_Qwen3-1.7B_Qwen_Qwen3-8B,boiled_potato_slices,2,0.5,0.0,0.0,120,0.0,0.0,0.0,0.0,0.0,0.0,0.36498483973390927,0.58,0.29647613368543596,0.20541946682364157,0.30265491900843117,0.15915869941155514,0.20512820512820512,0.13675213675213677,0.17094017094017094
Qwen_Qwen3-1.7B_Qwen_Qwen3-8B,baked_pumpkin_slices,2,0.6,0.0,0.0,76,0.0,0.0,0.0,0.0,0.0,0.0,0.2828316289530105,0.62,0.19412815738405576,0.17648964744302073,0.2749545416973504,0.13039600393824624,0.24150943396226415,0.09811320754716982,0.169811320754717
Qwen_Qwen3-1.7B_Qwen_Qwen3-8B,boiled_corn_slices,2,0.6,0.0,0.0,120,0.0,0.0,0.0,0.0,0.0,0.0,0.24582185288626532,0.5999999999999999,0.1627716037832137,0.1843072826173377,0.322490309931942,0.15433065872622695,0.14285714285714285,0.10582010582010581,0.12433862433862433
Qwen_Qwen3-1.7B_Qwen_Qwen3-8B,boiled_green_bean_slices,2,0.18181818181818182,0.0,0.0,120,0.0,0.0,0.0,0.0,0.0,0.0,0.24602404982842527,0.4,0.18486256826177777,0.24341800440341255,0.3411211461689767,0.19778008221376864,0.24495677233429394,0.1642651296829971,0.20461095100864551
Qwen_Qwen3-32B_Qwen_Qwen3-14B,boiled_green_bean_slices,2,0.42857142857142855,0.0,0.0,47,0.0858451403302951,0.14285714285714285,0.05952380952380953,0.21027679070684033,0.34992710611188266,0.14580296087995107,0.19150178397664613,0.17142857142857143,0.22857142857142856,0.24250131421681298,0.19794866372215741,0.3282607226593159,0.10909090909090909,0.07272727272727272,0.09090909090909091
Qwen_Qwen3-32B_Qwen_Qwen3-14B,boiled_corn_slices,2,0.3,0.0,0.0,120,0.0,0.0,0.0,0.0,0.0,0.0,0.1407844130684905,0.2,0.10902319902319901,0.22365133937857595,0.3098386676965934,0.18019163915613307,0.10416666666666667,0.125,0.11458333333333334
Qwen_Qwen3-8B_Qwen_Qwen3-1.7B,boiled_green_bean_slices,2,0.3333333333333333,0.0,0.0,120,0.0,0.0,0.0,0.0,0.0,0.0,0.16833009249290135,0.13333333333333333,0.3888888888888889,0.1319770762129378,0.09428090415820634,0.4374448818895451,0.0,0.1111111111111111,0.05555555555555555
Qwen_Qwen3-8B_Qwen_Qwen3-1.7B,boiled_corn_slices,2,0.09090909090909091,0.0,0.0,120,0.0,0.0,0.0,0.0,0.0,0.0,0.23756883494563574,0.16363636363636364,0.643939393939394,0.17310186896305088,0.1149919149152138,0.4715262521089526,0.022222222222222223,0.13333333333333333,0.07777777777777778
Qwen_Qwen3-8B_Qwen_Qwen3-1.7B,baked_pumpkin_slices,2,0.2,0.0,0.0,120,0.0,0.0,0.0,0.0,0.0,0.0,0.26379772660576306,0.2,0.48666666666666664,0.13006890277575364,0.0894427190999916,0.35030145747785735,0.2608695652173913,0.5217391304347826,0.3913043478260869
Qwen_Qwen3-14B_Qwen_Qwen3-8B,boiled_potato_slices,2,0.6,0.0,0.0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.411154810599253,0.6,0.3243822843822844,0.24656686464919716,0.36878177829171555,0.21089414805710777,0.09090909090909091,0.13636363636363635,0.11363636363636363
Qwen_Qwen3-14B_Qwen_Qwen3-8B,boiled_corn_slices,2,0.4,0.0,0.0,120,0.0,0.0,0.0,0.0,0.0,0.0,0.14114610408606382,0.24000000000000005,0.09748731660496367,0.21264813197281537,0.3440930106817051,0.14954675592257147,0.07272727272727272,0.18181818181818182,0.12727272727272726
Qwen_Qwen3-14B_Qwen_Qwen3-8B,boiled_green_bean_slices,2,0.3333333333333333,0.0,0.0,53,0.0,0.0,0.0,0.0,0.0,0.0,0.1953067974210554,0.24444444444444446,0.17195767195767195,0.2590865219563874,0.3235604395235786,0.22159144541134312,0.057692307692307696,0.11538461538461539,0.08653846153846154
Qwen_Qwen3-14B_Qwen_Qwen3-8B,baked_pumpkin_slices,2,0.2,0.0,0.0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.1496669210293828,0.22000000000000003,0.1108080808080808,0.20290226423415278,0.3026549190084311,0.14929966086982005,0.0975609756097561,0.1951219512195122,0.14634146341463417
Qwen_Qwen3-1.7B_Qwen_Qwen3-32B,boiled_green_bean_slices,2,0.8,0.0,0.0,26,0.0,0.0,0.0,0.0,0.0,0.0,0.5573761575846842,0.8400000000000001,0.4292270531400966,0.14251435884806396,0.07999999999999999,0.15632256069155986,0.26136363636363635,0.20454545454545456,0.23295454545454547
Qwen_Qwen3-1.7B_Qwen_Qwen3-32B,boiled_corn_slices,2,0.7,0.0,0.0,120,0.0,0.0,0.0,0.0,0.0,0.0,0.37374065431011555,0.6,0.28305255096029225,0.22340824892494235,0.30983866769659335,0.17475911582113765,0.19008264462809918,0.1652892561983471,0.17768595041322316
Qwen_Qwen3-1.7B_Qwen_Qwen3-14B,boiled_green_bean_slices,2,0.4444444444444444,0.0,0.0,22,0.0,0.0,0.0,0.0,0.0,0.0,0.3822329136966632,0.6,0.2893480573060115,0.2828090809811765,0.35276684147527876,0.23250222667063491,0.05238095238095238,0.05714285714285714,0.05476190476190476
Qwen_Qwen3-1.7B_Qwen_Qwen3-14B,baked_pumpkin_slices,2,0.5714285714285714,0.0,0.0,101,0.0,0.0,0.0,0.0,0.0,0.0,0.40535826611217873,0.6,0.3484807256235828,0.2727585519930128,0.3207134902949093,0.30399041211746236,0.19653179190751446,0.10404624277456648,0.15028901734104047
Qwen_Qwen3-8B_Qwen_Qwen3-14B,baked_pumpkin_slices,2,0.5,0.0,0.0,74,0.0,0.0,0.0,0.0,0.0,0.0,0.4110513442379845,0.52,0.36668109668109666,0.2534644854800361,0.31240998703626616,0.2790815858670746,0.08620689655172414,0.16379310344827586,0.125
Qwen_Qwen3-8B_Qwen_Qwen3-14B,boiled_corn_slices,2,0.2,0.0,0.0,120,0.0,0.0,0.0,0.0,0.0,0.0,0.2655884931304617,0.36,0.20634920634920634,0.2638888357758998,0.36660605559646725,0.20128085694155376,0.06521739130434782,0.043478260869565216,0.05434782608695652
Qwen_Qwen3-8B_Qwen_Qwen3-14B,boiled_potato_slices,2,0.8,0.0,0.0,120,0.0,0.0,0.0,0.0,0.0,0.0,0.46081735391877954,0.5999999999999999,0.37823412698412695,0.2400222711590834,0.322490309931942,0.2016725473193554,0.1262135922330097,0.08737864077669903,0.10679611650485438
Qwen_Qwen3-8B_Qwen_Qwen3-32B,baked_pumpkin_slices,2,0.8333333333333334,0.0,0.0,76,0.0,0.0,0.0,0.0,0.0,0.0,0.320789992305574,0.4000000000000001,0.26455026455026454,0.3222680686305298,0.4,0.2679151090195166,0.06557377049180328,0.09836065573770492,0.0819672131147541
Qwen_Qwen3-8B_Qwen_Qwen3-32B,boiled_green_bean_slices,2,0.6,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.2689014859157869,0.4,0.2124358974358974,0.24797764145388349,0.36878177829171555,0.1922467567275896,0.041666666666666664,0.1388888888888889,0.09027777777777778
Qwen_Qwen3-8B_Qwen_Qwen3-32B,boiled_potato_slices,2,0.8571428571428571,0.0,0.0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.5164056449154178,0.6857142857142857,0.4070294784580498,0.2132930460249102,0.2799416848895061,0.17193981284914653,0.027777777777777776,0.08333333333333333,0.05555555555555555
Qwen_Qwen3-14B_Qwen_Qwen3-1.7B,boiled_corn_slices,2,0.0,0.0,0.0,120,0.0,0.0,0.0,0.0,0.0,0.0,0.3505550940122288,0.26666666666666666,0.8636363636363636,0.09647941424278796,0.09428090415820635,0.30491836056815314,0.05925925925925926,0.05185185185185185,0.05555555555555555
Qwen_Qwen3-32B_Qwen_Qwen3-8B,baked_pumpkin_slices,2,0.4,0.0,0.0,120,0.0,0.0,0.0,0.0,0.0,0.0,0.2512473413032297,0.42000000000000004,0.17567987567987567,0.2533698244300191,0.42379240200834184,0.17932883357240392,0.15,0.1875,0.16875
Qwen_Qwen3-32B_Qwen_Qwen3-8B,boiled_corn_slices,2,0.18181818181818182,0.0,0.0,120,0.0,0.0,0.0,0.0,0.0,0.0,0.07866570398852442,0.14545454545454548,0.05221445221445221,0.16714203341850256,0.30855568633594804,0.11110839429196256,0.14285714285714285,0.3673469387755102,0.25510204081632654
