model,level,success_rate,time_avg,time_var,steps,mean_f1_agent_0,mean_similarity_agent_0,mean_redundancy_agent_0,std_f1_agent_0,std_similarity_agent_0,std_redundancy_agent_0,mean_f1_agent_1,mean_similarity_agent_1,mean_redundancy_agent_1,std_f1_agent_1,std_similarity_agent_1,std_redundancy_agent_1,initiate_collaboration,respond_collaboration,overall_collaboration
Qwen_Qwen3-4B_Qwen_Qwen3-1.7B,level_5,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0853119080516178,0.05416241653083752,0.42808646314363186,0.06267508486747524,0.041656623917845,0.36518654404728784,0.25089655837852337,0.16074583729877462,0.205821197838649
Qwen_Qwen3-4B_Qwen_Qwen3-14B,level_1,0.23636363636363633,0.0,0.0,81.6,0.40939653226869027,0.5465454545454546,0.3603015631276623,0.2249192967395627,0.20360399317201386,0.2530610860987309,0.21097191027671203,1.0,0.12886121088785712,0.11779423964223654,0.0,0.10092494221144854,0.08293698198228984,0.08910238027160584,0.08601968112694784
Qwen_Qwen3-4B_Qwen_Qwen3-14B,level_2,0.055384615384615386,0.0,0.0,109.4,0.17350143815450209,0.15988461538461535,0.2428800366300366,0.22906645440014825,0.20794988216634097,0.34458458533681047,0.2465958144071386,0.9756923076923076,0.13755082545557917,0.07090234706576973,0.06824759375142682,0.04809556274720822,0.07678277032005948,0.16384299835064486,0.12031288433535217
Qwen_Qwen3-4B_Qwen_Qwen3-14B,level_3,0.0,0.0,0.0,120.0,0.07933757700765612,0.05973856209150323,0.14716106442577032,0.13928619518138846,0.10561799188403495,0.2676514061161457,0.23389442867726165,0.6956302521008404,0.13647693957186435,0.0677221207586957,0.15494828153717202,0.042503487012682487,0.08177960751396643,0.1200149055142509,0.10089725651410866
Qwen_Qwen3-4B_Qwen_Qwen3-14B,level_5,0.0,0.0,0.0,120.0,0.03758016419012924,0.02450549450549446,0.12420634920634917,0.07631932009079696,0.04951991391194902,0.2879220066971159,0.17711629012451668,0.3165646258503401,0.12236001985449454,0.08370653113042192,0.141072571272452,0.060629727709452366,0.12525875190258748,0.13452005376662907,0.1298894028346083
Qwen_Qwen3-4B_Qwen_Qwen3-32B,level_1,0.27666666666666667,0.0,0.0,83.6,0.42761526716445875,0.48600000000000004,0.4500838035743159,0.1925494304692633,0.20495059195394277,0.26345966921734687,0.23579656770800855,1.0,0.14964055867550186,0.11996355036006572,0.0,0.10803550125330326,0.10667355222583366,0.11090289252029792,0.10878822237306576
Qwen_Qwen3-4B_Qwen_Qwen3-32B,level_2,0.14250000000000002,0.0,0.0,107.4,0.4198208736473135,0.3810454545454546,0.605577380952381,0.2443718134190965,0.23835366670714367,0.3487109692598892,0.32684741481770285,1.0,0.2005138165811525,0.10616190127155085,0.0,0.09854029488501882,0.05969725529501466,0.12825786809142364,0.09397756169321916
Qwen_Qwen3-4B_Qwen_Qwen3-32B,level_3,0.0,0.0,0.0,120.0,0.13443790244153248,0.10842793257653933,0.21454471964224284,0.19147597077547537,0.15802174411961883,0.30511835371115786,0.2769174421830234,0.7151923927465724,0.1673955479549199,0.07846989907372118,0.14743756426230598,0.054442912650922756,0.06575261540069313,0.10569009549189427,0.08572135544629368
Qwen_Qwen3-4B_Qwen_Qwen3-32B,level_5,0.0,0.0,0.0,120.0,0.06821960467130012,0.044605219342061395,0.24619085592769802,0.0981897590429439,0.06390124869543005,0.37797418273643796,0.24682630320744905,0.41601861797350514,0.17528104622212998,0.05477636126217476,0.08610941532137098,0.05535303736842152,0.18456020864641945,0.18159588140165148,0.18307804502403546
Qwen_Qwen3-4B_Qwen_Qwen3-4B,level_1,0.04,0.0,0.0,99.6,0.22151158394222495,0.22603030303030297,0.32761811837972826,0.1301809862240348,0.13643743472742165,0.2775006779268033,0.1467296237714824,0.6618181818181817,0.08860262260017795,0.11199579865430523,0.18495711731297035,0.0814731025234163,0.3939926276926924,0.036653363337954506,0.21532299551532347
