model,order,level,success_rate,time_avg,time_var,steps,mean_f1_agent_0,mean_similarity_agent_0,mean_redundancy_agent_0,std_f1_agent_0,std_similarity_agent_0,std_redundancy_agent_0,mean_f1_agent_1,mean_similarity_agent_1,mean_redundancy_agent_1,std_f1_agent_1,std_similarity_agent_1,std_redundancy_agent_1,initiate_collaboration,respond_collaboration,overall_collaboration
Qwen_Qwen3-32B_Qwen_Qwen3-32B,boiled_mushroom,1,1.0,0.0,0.0,25,0.9771269716642250,1.0,0.9615705931495410,0.06927289901610460,0.0,0.11496085154064900,0.5179707796034040,1.0,0.36966775914144300,0.21018659384022400,0.0,0.21577369513612600,0.4,0.4263157894736840,0.4131578947368420
Qwen_Qwen3-32B_Qwen_Qwen3-32B,boiled_sweet_potato,1,1.0,0.0,0.0,18,1.0,1.0,1.0,0.0,0.0,0.0,0.6927332852324140,1.0,0.5458333333333330,0.1622204392394240,0.0,0.2190176933491900,0.41714285714285700,0.4514285714285710,0.4342857142857140
Qwen_Qwen3-32B_Qwen_Qwen3-32B,baked_potato_soup,3,0.65,0.0,0.0,120,0.645206820358913,0.6666666666666670,0.632739156268568,0.44656633322327100,0.45542003404264900,0.44473747056531600,0.43710730527837700,0.9142857142857140,0.31074357794766500,0.23258137277345700,0.1309307341415950,0.2535681271380760,0.22517207472959700,0.20943952802359900,0.21730580137659800
Qwen_Qwen3-32B_Qwen_Qwen3-32B,baked_mushroom_soup,3,0.7,0.0,0.0,85,0.755356990197864,0.7555555555555560,0.7621428571428570,0.386792783911358,0.3922080576605060,0.37337470919893300,0.5603897292763540,0.9785714285714280,0.4268693079126610,0.2446581738918520,0.06813851438692470,0.2740165566978980,0.276657060518732,0.29971181556196000,0.2881844380403460
Qwen_Qwen3-32B_Qwen_Qwen3-32B,mashed_potato_and_pea_patty,5,0.0,0.0,0.0,120,0.24525725230107900,0.24230769230769200,0.2682387057387060,0.231801826656047,0.23239809753878100,0.26509344746890800,0.26724576166383900,0.5035714285714290,0.17634604223026600,0.07466462329058820,0.14191654633075400,0.04990725387385640,0.1843079200592150,0.19096965210954800,0.18763878608438200
Qwen_Qwen3-32B_Qwen_Qwen3-32B,baked_sweet_potato,1,1.0,0.0,0.0,21,0.9417246754637920,1.0,0.9114452798663330,0.13756678197972600,0.0,0.18954321627258100,0.6847801228363540,1.0,0.5752923976608190,0.26059967778474200,0.0,0.32190104162484300,0.4666666666666670,0.5,0.48333333333333300
Qwen_Qwen3-32B_Qwen_Qwen3-32B,mashed_cauliflower_and_lentil_patty,5,0.0,0.0,0.0,120,0.21735451735714800,0.2186234817813770,0.2182028497817970,0.25218376171617300,0.25237971458313700,0.2554683931410460,0.29143512186880300,0.5601503759398500,0.19080693486343300,0.1070091019927870,0.18721653530810100,0.07398045697467900,0.18470790378006900,0.18642611683848800,0.18556701030927800
Qwen_Qwen3-32B_Qwen_Qwen3-32B,boiled_potato_slices,2,0.95,0.0,0.0,26,0.940947473460745,0.96,0.9269642857142860,0.17955255763339800,0.17435595774162700,0.1943673508895890,0.7517583068971670,1.0,0.6215438435833170,0.1724654416594090,0.0,0.2185920931044250,0.33048433048433000,0.41595441595441600,0.3732193732193730
Qwen_Qwen3-32B_Qwen_Qwen3-32B,baked_pumpkin_soup,3,0.65,0.0,0.0,51,0.7441170624811560,0.7444444444444440,0.7525974025974030,0.372720716505349,0.3785938897200180,0.3683603606355730,0.5190358048119910,1.0,0.37755056933656900,0.22305237359458200,0.0,0.24427094999800600,0.2214941022280470,0.24639580602883400,0.23394495412844000
Qwen_Qwen3-32B_Qwen_Qwen3-32B,boiled_green_bean_slices,2,1.0,0.0,0.0,46,1.0,1.0,1.0,0.0,0.0,0.0,0.7673272626701180,1.0,0.6747925122925120,0.24452057278959900,0.0,0.305503407578841,0.3089005235602090,0.36649214659685900,0.337696335078534
Qwen_Qwen3-32B_Qwen_Qwen3-32B,baked_pumpkin_slices,2,1.0,0.0,0.0,32,0.9834325856180390,1.0,0.9712732919254660,0.05445916492649510,0.0,0.09401144857544600,0.7703727828179370,1.0,0.6570414287805590,0.1951718598270820,0.0,0.25326481439584000,0.3776041666666670,0.4270833333333330,0.40234375
Qwen_Qwen3-32B_Qwen_Qwen3-32B,boiled_corn_slices,2,1.0,0.0,0.0,33,0.9667655482815060,1.0,0.94375,0.07911381943649660,0.0,0.13390178303517800,0.6488778929894060,1.0,0.5080315260075320,0.21407873760023000,0.0,0.24167043470830200,0.31234866828087200,0.38498789346247000,0.3486682808716710
Qwen_Qwen3-32B_Qwen_Qwen3-32B,mashed_broccoli_and_bean_patty,5,0.058823529411764700,0.0,0.0,120,0.3562241371496810,0.3484162895927600,0.3883160956690370,0.2650233363989150,0.2613489425917400,0.30391601157239800,0.28599827540356700,0.5546218487394960,0.18657132178369400,0.10474865678715600,0.189028939146252,0.0704694997589811,0.17480035492457900,0.18278615794143700,0.17879325643300800
Qwen_Qwen3-32B_Qwen_Qwen3-32B,baked_carrot_soup,3,0.7647058823529410,0.0,0.0,66,0.8113775588886840,0.8366013071895420,0.7964200831847890,0.3305197879327420,0.33683918239804200,0.32762157722327900,0.6061306328214640,1.0,0.44717635277726600,0.1761205135643670,0.0,0.18699979831622800,0.36968576709796700,0.3123844731977820,0.3410351201478740
Qwen_Qwen3-32B_Qwen_Qwen3-32B,baked_bell_pepper_soup,3,0.7333333333333330,0.0,0.0,38,0.8286495888596600,0.8296296296296300,0.8416666666666670,0.3252790712058230,0.3242380537516930,0.3242512743057290,0.6308916052210130,0.9714285714285710,0.49292795173999300,0.22637504698706000,0.07737179432986630,0.25222568249409900,0.27423167848699800,0.28132387706855800,0.2777777777777780
Qwen_Qwen3-32B_Qwen_Qwen3-32B,baked_bell_pepper,1,1.0,0.0,0.0,21,0.9265241002794340,1.0,0.8752834467120180,0.104227408539553,0.0,0.17365824941991600,0.6635770780481260,1.0,0.5298937756920950,0.22591435514697900,0.0,0.2601520908882750,0.5789473684210530,0.6421052631578950,0.6105263157894740
Qwen_Qwen3-32B_Qwen_Qwen3-32B,mashed_sweet_potato_and_bean_patty,5,0.0,0.0,0.0,120,0.4217671111060530,0.41346153846153800,0.46956938078261600,0.2775994635411690,0.2850762900071850,0.3075417135551230,0.3478041496590250,0.625,0.23689872480092500,0.11210434293699300,0.16656034023372900,0.08883277912036240,0.1720226843100190,0.1947069943289230,0.1833648393194710
Qwen_Qwen3-32B_Qwen_Qwen3-32B,boiled_egg,1,1.0,0.0,0.0,43,0.9911395822595290,1.0,0.9841269841269840,0.03653243823105750,0.0,0.06544612104155020,0.6243177026602490,1.0,0.4959876543209880,0.2400353723053840,0.0,0.29719658107671500,0.4391891891891890,0.4594594594594600,0.44932432432432400
Qwen_Qwen3-32B_Qwen_Qwen3-32B,mashed_carrot_and_chickpea_patty,5,0.0,0.0,0.0,120,0.07842835761031670,0.0923076923076923,0.06772486772486770,0.13118755471161900,0.15938738736328300,0.11042557477404400,0.25066013081549100,0.4809523809523810,0.1642690919846510,0.06800113263270560,0.11799534946060800,0.04673392464521430,0.1773809523809520,0.19285714285714300,0.18511904761904800
Qwen_Qwen3-14B_Qwen_Qwen3-8B,baked_bell_pepper_soup,3,0.0,0.0,0.0,120,0.0,0.0,0.0,0.0,0.0,0.0,0.06067682372013030,0.2571428571428570,0.03296432210439210,0.05187466556690400,0.22857142857142900,0.02797157168416010,0.10176991150442500,0.07743362831858410,0.08960176991150440
Qwen_Qwen3-14B_Qwen_Qwen3-8B,baked_pumpkin_slices,2,0.0,0.0,0.0,120,0.0,0.0,0.0,0.0,0.0,0.0,0.09422368709683590,0.3833333333333330,0.052938151806774600,0.11792120785411200,0.29953667926019000,0.07069495509151750,0.12334801762114500,0.0947136563876652,0.10903083700440500
